date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:22	33120/33120	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c60eb-8160%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-index.html	(from )
10:50:23	50/50	---MCZ	200	added ('OK')	text/plain	date:Sat,%2030%20Apr%202022%2005:20:23%20GMT	https://bootstrap-ecommerce.com/robots.txt		(from )
10:50:23	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225da9c5b0-47e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/favicon.ico	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/favicon.ico	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:24	83095/83095	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9e7fdc-14497%22	https://bootstrap-ecommerce.com/templates/alistyle-html/js/jquery-2.0.0.min.js	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/js/jquery-2.0.0.min.js	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:24	70966/70966	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9e7fdc-11536%22	https://bootstrap-ecommerce.com/templates/alistyle-html/js/bootstrap.bundle.min.js	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/js/bootstrap.bundle.min.js	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:25	181560/181560	---MCZ	200	added ('OK')	text/css	etag:W/%225f40ed4e-2c538%22	https://bootstrap-ecommerce.com/templates/alistyle-html/css/bootstrap.css?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/css/bootstrap3661.css	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:25	55179/55179	---MCZ	200	added ('OK')	text/css	etag:W/%225ddd37b2-d78b%22	https://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min3661.css	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:25	21571/21571	---MCZ	200	added ('OK')	text/css	etag:W/%225f40ed4e-5443%22	https://bootstrap-ecommerce.com/templates/alistyle-html/css/ui.css?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/css/ui3661.css	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:25	2562/2562	---MCZ	200	added ('OK')	text/css	etag:W/%225f40ed4e-a02%22	https://bootstrap-ecommerce.com/templates/alistyle-html/css/responsive.css?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/css/responsive3661.css	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:25	2520/2520	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f13f43e-9d8%22	https://bootstrap-ecommerce.com/templates/alistyle-html/js/script.js?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/js/script3661.js	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:26	14815/14815	---M--	200	added ('OK')	image/png	etag:%225f143780-39df%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/logo.png?v=2.0	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/logo3661.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:26	33120/33120	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c60e5-8160%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
